Food,"Fishing shore fish","0.280 - 0.348 F/s","Fishing shore fish with fishing ships should be avoided and only using it if deep fish is very far. In <a href=""https://1drv.ms/f/s!Ark-SUz3-qr5qRSkwXtCvEJ5-88m"">tests</a> 0.280 F/s and 0.348 F/s with Gillnets (Fish Traps being the better alternative when investing into Gillnets)."
Food,"Fishing shore fish with japanese","0.294 - 0.415 F/s","Japanese have a bonus to their fishing ship work speed: 5% in Dark, 10% in Feudal, 15% in Castle and 20% in Imperial and Gillnets also boosts the gathering rate (Though Fish Traps are usually the better alternative when investing into Gillnets). These values correspond to 0.294 F/s in Dark age, 0.308 F/s in Feudal Age, 0.322 F/s in Castle age, 0.398 F/s with Gillnets, 0.336 F/s in Imperial Age and 0.415 F/s with Gillnets in Imperial Age. Note these values hold only when the fishing ship doesn't have to move to drop off resources. Real values will be lower based on the distance."
Food,"Fish traps with japanese","0.375 - 0.506 F/s","Usually used fish has run out. Gives quite good wood to food ratio. Japanese get faster working fishing ships by 5% in each age, and the Gillnets tech further boosts the rate, making them faster than Farms for Japanese. Experimental results - 0.375 F/s in Feudal, 0.391 F/s in Castle, 0.486 F/S with Gillnets, 0.407 F/s in Imperial age and 0.506 F/s with Gillnets in Imperial Age (<a href=""https://1drv.ms/f/s!Ark-SUz3-qr5qRXNLlEPG9Ii3Zuy"">Tests</a>)."
Food,"Fish traps","0.342 - 0.425 F/s","Usually used fish has run out. Gives quite good wood to food ratio. The Gillnets tech further increases gather rate so that they are similar to Farms. In realistic <a href=""https://1drv.ms/f/s!Ark-SUz3-qr5qRXNLlEPG9Ii3Zuy"">tests</a> 0.342 (when directly adjacent to the dock) or 0.425 F/s with Gillnets."
Wood,Chopping,"0.388 - 0.615 W/s","0.466 W/s after Double-Bit Axe (x1.2), 0.559 W/s after Bow Saw (x1.2) and 0.615 W/s after Two-Man Saw (x1.1). Wood is harvested from trees. Obviously, not every forest is close to a Town Center, so a Lumber Mill (or another Town Center) is an almost obligatory requisite for an efficient wood gathering."
Wood,"Chopping with Celts","0.444 - 0.643 W/s","Celtic lumberjacks start with a 15% bonus efficiency. 0.535 W/s after Double-Bit Axe (x1.2) and 0.643 W/s after Bow Saw (x1.2)"
Gold,Mining,"0.379 - 0.501 G/s","0.436 G/s after Gold mining (x1.15) and 0.501 G/s after Gold Shaft Mining (x1.15). Gold is possibly the most important resource in the game, because without gold, only three military units types are available (Spear line, Skirmisher line and Scout line, which are cheerfully called as 'trash'). Gold mining is the primary gold source; and the initial mine clump, has seven mines. Relics can be found in the map, and each grant a permanent trickle of gold."
Gold,"Mining with Turks","0.455 - 0.601 G/s","Turks get 20 % gold mining bonus (gold mining work rate x 1.2). 0.523 G/s after Gold mining (x1.15) and 0.601 G/s after Gold Shaft Mining (x1.15)."
Gold,Relic,"0.5 G/s","Relics generate 1 gold every 2 seconds"
Gold,"Relic with Aztecs","0.67 G/s","Aztecs get a 33% gold generation bonus."
Stone,Mining,"0.359 - 0.475 S/s","0.413 S/s after Stone mining (x1.15) and 0.475 S/s after Stone Shaft Mining (x1.15). Stone can only be harvested from stone mines. Stone isn't used for units, but some technologies require it. It's greatest use is obviously for creating buildings. Town Centers, Outposts, Castles, Towers, Walls, Gates and Wonders all require large amounts of stone."
Stone,"Mining with Koreans","0.431 - 0.570 S/s","Korean stone miners get a 20% work rate bonus (1.2 x work rate). 0.495 S/s after Stone mining (x1.15) and 0.570 S/s after Stone Shaft Mining (x1.15)."
Gold,"Relics with Indians after Sultans","0.55 - 0.73 G/s","The unique Tech ""Sultans"" boosts all gold income by 10%. This makes their relics gather 0.55 G/s, or 0.73 G/s with an Aztec ally."
Gold,"Mining with Indians after Sultans","0.417 - 0.551 G/s","The unique Tech ""Sultans"" boosts all gold income by 10%. 0.479 G/s after Gold mining (x1.15) and 0.551 G/s after Gold Shaft Mining (x1.15)."
Food,"Foraging with Franks","0.3875 F/s","Franks get 25% faster berry gathering. This bonus makes it faster than gathering food from sheep."
Food,"Fishing with villagers with Indians","0.4945 F/s","Indians get a 15% gathering bonus. Their fishermen can also carry +15 food, so a total of 25 food"
Food,"Farming with slavs","0.39 - 0.46 F/s","0.37 F/s without upgrades, 0.43 F/s with Wheelbarrow+Heavy Plow, 0.46 F/s after Hand Cart. Slavs get a 15% bonus to their farming rate. Values are estimated, not tested exactly."
Food,"Farming with berbers","0.34 - 0.41 F/s","0.39 F/s without upgrades, 0.41 F/s with Wheelbarrow+Heavy Plow, 0.41 F/s after Hand Cart (<a href=""https://1drv.ms/f/s!Ark-SUz3-qr5qROIwgp19j7Ml9-u"">Tests</a>). Berber villagers walk 10% faster, which makes them spend more time actually collecting food from a farm and thus boosts their gathering rate by a small 1-3%"
